01, 15770, 760, 1
02, 17030, 760, 2
03, 18200, 760, 3
04, 19340, 760, 4

05, 15770, 1920, 5
06, 17030, 1920, 6
07, 18200, 1920, 7
08, 19340, 1920, 8

09, 15770, 3220, 9
10, 17030, 3220, 0
11, 18200, 3220, .
12, 19340, 3220, +/-

13, 15770, 4520, +
14, 17030, 4520, -
15, 18200, 4520, /
16, 19340, 4520, *

17, 15770, 5775, Exp
18, 17030, 5775, ?
19, 18200, 5775, Clear
20, 19340, 5775, =

21, 15770, 7050, Up
22, 17030, 7050, Down
23, 18200, 7050, ?
24, 19340, 7050, Save

25, 15770, 8260, ?
26, 17030, 8260, ?
27, 18200, 8260, ?
28, 19340, 8260, ?

29, 15770, 9770, ?
30, 17030, 9770, ?
31, 18200, 9770, ?
32, 19340, 9770, ?

33, 15770, 11180, ?
34, 17030, 11180, ?
35, 18200, 11180, ?
36, 19340, 11180, ?

37, 15770, 12630, ?
38, 17030, 12630, ?
39, 18200, 12630, ?
40, 19340, 12630, ?
